188                 43.060                 36.353
189               994.853                879.184
190              1391.506               1330.982
191               688.492                697.108
192               106.703                 60.862
193               595.544                479.868
194               483.549                499.886
195              2751.196               2658.893
196              1266.933               1266.331
197              1173.023               1425.591
198               443.204                477.943
199              1293.187               1226.328
200              1159.126               1007.854
201                30.312                 36.129
202                29.018                 46.539
203               774.129                699.699
204               715.082                581.754
205                71.040                 68.168
206                34.637                 43.365
207               188.390                188.456
208               140.033                121.527
209                32.912                 43.876
210                 4.529                  7.367
211               196.256                107.785
